"2025-04";"2.7914";"2.5449";"3.1716";"5.3088";"0.1987";"0.6668";"0.0871";"4.9773";"5.8339";"0.012241";"0.030752";"0.2547";"0.4209";"1.1669";"0.0532";"0.4539";"-";"0.1162";"4.4408";"0.2349";"0.7692";"0.6083";"0.0519";"0.003078";"0.2213";"2.5863";"0.0425";"0.1072";"1.209";"-";"0.1314";"0.572";"1.2014";"0.000268";"0.0781";"0.034332";"1.0056";"3.3526";"458.3164";"5.982";"2.8007";"2.5449";"3.1664";"5.3042";"0.1998";"0.6669";"0.0861";"4.9775";"5.8518";"0.012309";"0.030619";"0.2543";"0.4226";"1.165";"0.0536";"0.4539";"-";"0.1134";"4.3787";"0.2351";"0.7791";"0.6028";"0.0518";"0.003081";"0.2242";"2.5955";"0.0425";"0.1056";"1.1921";"-";"0.1311";"0.5646";"1.2054";"0.000264";"0.0784";"0.034116";"1.0145";"3.3534";"461.6339";"5.9396"
"2025-03";"2.9006";"2.5446";"3.2081";"5.2115";"0.199";"0.6672";"0.091";"4.9768";"5.9444";"0.012449";"0.030879";"0.2552";"0.4308";"1.1899";"0.0536";"0.4536";"-";"0.1238";"4.6044";"0.2521";"0.7987";"0.635";"0.0532";"0.003157";"0.2276";"2.6358";"0.0425";"0.111";"1.2536";"-";"0.1362";"0.5924";"1.2593";"0.00028";"0.0802";"0.034244";"1.0382";"3.4461";"441.4456";"6.1164";"2.8759";"2.5447";"3.2065";"5.2179";"0.1992";"0.6671";"0.091";"4.9771";"5.946";"0.012382";"0.030838";"0.2559";"0.4358";"1.1892";"0.0538";"0.4586";"-";"0.1213";"4.6005";"0.2515";"0.7988";"0.6343";"0.0539";"0.003119";"0.2255";"2.615";"0.0425";"0.1112";"1.2525";"-";"0.1356";"0.5914";"1.237";"0.000278";"0.0804";"0.034927";"1.0367";"3.4278";"460.4406";"6.1131"
"2025-02";"3.0112";"2.5447";"3.3418";"5.2877";"0.1985";"0.6672";"0.0946";"4.977";"5.9905";"0.012344";"0.031486";"0.2557";"0.427";"1.1926";"0.0519";"0.4425";"-";"0.1319";"4.78";"0.2585";"0.8293";"0.6571";"0.0549";"0.003308";"0.2334";"2.7141";"0.0425";"0.1148";"1.3014";"-";"0.1415";"0.6142";"1.3394";"0.000292";"0.0824";"0.034009";"1.0759";"3.5492";"445.0926";"6.2542";"2.974";"2.5444";"3.3148";"5.3023";"0.1988";"0.6672";"0.0944";"4.9765";"6.0281";"0.012426";"0.031834";"0.2548";"0.4247";"1.1988";"0.0542";"0.4449";"-";"0.1309";"4.7844";"0.2585";"0.8192";"0.6573";"0.0547";"0.003276";"0.2343";"2.6795";"0.0425";"0.1154";"1.3027";"-";"0.1402";"0.6151";"1.3318";"0.000288";"0.0825";"0.034203";"1.0721";"3.5479";"440.4318";"6.2644"
"2025-01";"2.9915";"2.5437";"3.34";"5.2852";"0.1977";"0.6668";"0.0954";"4.9752";"5.9231";"0.012091";"0.030768";"0.2576";"0.4235";"1.1716";"0.0475";"0.4332";"-";"0.1352";"4.8092";"0.2565";"0.8003";"0.6589";"0.0557";"0.003311";"0.2336";"2.7045";"0.0425";"0.1142";"1.3093";"-";"0.1404";"0.6176";"1.3308";"0.000296";"0.0822";"0.034213";"1.0769";"3.5326";"419.887";"6.2572";"2.9822";"2.5445";"3.3111";"5.2638";"0.1978";"0.667";"0.0955";"4.9767";"5.9541";"0.012178";"0.030991";"0.2564";"0.4233";"1.1799";"0.0486";"0.4339";"-";"0.134";"4.7959";"0.2574";"0.8163";"0.6614";"0.0554";"0.003303";"0.2315";"2.708";"0.0425";"0.115";"1.3057";"-";"0.1424";"0.6154";"1.3381";"0.000294";"0.0821";"0.034017";"1.0765";"3.5357";"430.9044";"6.2584"
"2024-12";"3.011";"2.5436";"3.336";"5.3287";"0.198";"0.667";"0.0939";"4.9748";"6.0086";"0.012077";"0.030903";"0.2584";"0.4238";"1.1649";"0.0457";"0.4324";"-";"0.1357";"4.7475";"0.2613";"0.7792";"0.652";"0.0559";"0.003302";"0.2344";"2.7324";"0.0425";"0.1136";"1.2925";"-";"0.139";"0.6108";"1.3133";"0.000296";"0.0812";"0.034258";"1.0646";"3.5169";"403.5483";"6.2225";"2.9678";"2.5432";"3.323";"5.2806";"0.1977";"0.667";"0.094";"4.9741";"5.9951";"0.012106";"0.030457";"0.2576";"0.4218";"1.1634";"0.0429";"0.4342";"-";"0.135";"4.7768";"0.254";"0.7732";"0.6544";"0.0558";"0.003241";"0.2305";"2.6855";"0.0425";"0.1136";"1.3006";"-";"0.1392";"0.6151";"1.3079";"0.000297";"0.0823";"0.034566";"1.0683";"3.5073";"401.0611";"6.2349"
"2024-11";"3.0587";"2.5442";"3.3512";"5.3189";"0.1966";"0.6672";"0.0948";"4.976";"5.9666";"0.012148";"0.030489";"0.2589";"0.4237";"1.1475";"0.0464";"0.4296";"-";"0.1359";"4.6834";"0.2612";"0.8084";"0.6496";"0.0555";"0.003357";"0.2304";"2.7693";"0.0425";"0.1131";"1.2751";"-";"0.136";"0.602";"1.2596";"0.000295";"0.0797";"0.033926";"1.056";"3.5031";"399.8943";"6.1744";"3.0649";"2.5447";"3.3648";"5.3526";"0.1969";"0.6674";"0.095";"4.9771";"5.9807";"0.012074";"0.031427";"0.2581";"0.4251";"1.1577";"0.0437";"0.4321";"-";"0.1359";"4.7129";"0.2611";"0.7835";"0.6509";"0.0558";"0.003377";"0.2305";"2.7855";"0.0426";"0.1133";"1.2831";"-";"0.1374";"0.6055";"1.2948";"0.000297";"0.0804";"0.03416";"1.0603";"3.5159";"403.3744";"6.2069"
"2024-10";"3.0613";"2.5435";"3.318";"5.3004";"0.1967";"0.6669";"0.0939";"4.9748";"5.9564";"0.012382";"0.030507";"0.2571";"0.4219";"1.1526";"0.0473";"0.4362";"-";"0.1332";"4.5615";"0.2598";"0.8134";"0.6437";"0.0543";"0.003352";"0.2318";"2.7766";"0.0425";"0.1106";"1.2419";"-";"0.1366";"0.587";"1.2129";"0.000294";"0.0794";"0.033356";"1.0611";"3.4828";"394.5996";"6.0963";"3.0042";"2.5434";"3.2864";"5.285";"0.1963";"0.6668";"0.0934";"4.9745";"5.9436";"0.01218";"0.030009";"0.2564";"0.4166";"1.1429";"0.047";"0.428";"-";"0.1332";"4.5757";"0.2586";"0.794";"0.6428";"0.0544";"0.003319";"0.2277";"2.7318";"0.0425";"0.111";"1.2458";"-";"0.1355";"0.5886";"1.2272";"0.000292";"0.0786";"0.033364";"1.0449";"3.4623";"409.0029";"6.0958"
"2024-09";"3.0326";"2.5433";"3.3081";"5.2854";"0.1982";"0.6668";"0.0924";"4.9743";"5.9186";"0.012597";"0.031275";"0.2568";"0.4222";"1.163";"0.049";"0.438";"-";"0.1315";"4.478";"0.2542";"0.8072";"0.6327";"0.0534";"0.003364";"0.2287";"2.7871";"0.0425";"0.1085";"1.2192";"-";"0.1344";"0.5734";"1.1933";"0.000295";"0.0796";"0.032944";"1.0757";"3.469";"369.8389";"6.0431";"3.0781";"2.544";"3.288";"5.2677";"0.1976";"0.6673";"0.092";"4.9756";"5.9563";"0.012512";"0.031194";"0.2558";"0.423";"1.1637";"0.0476";"0.4407";"-";"0.1301";"4.4451";"0.2592";"0.8179";"0.634";"0.053";"0.003391";"0.2261";"2.8254";"0.0425";"0.1078";"1.2102";"-";"0.1382";"0.5722";"1.2005";"0.000294";"0.0793";"0.03306";"1.078";"3.4717";"378.7";"6.0279"
"2024-08";"3.0072";"2.5444";"3.3076";"5.2699";"0.1977";"0.667";"0.0923";"4.9765";"5.8465";"0.012603";"0.030919";"0.2575";"0.4221";"1.1593";"0.0506";"0.4345";"-";"0.1342";"4.5199";"0.2505";"0.813";"0.6321";"0.0539";"0.003344";"0.2361";"2.7495";"0.0425";"0.1096";"1.2306";"-";"0.1301";"-";"-";"-";"-";"-";"-";"-";"359.1759";"6.0569";"3.0567";"2.5446";"3.3325";"5.2932";"0.1988";"0.6673";"0.0924";"4.9769";"5.9203";"0.012678";"0.030945";"0.2577";"0.4265";"1.1631";"0.0491";"0.4387";"-";"0.1318";"4.4906";"0.2544";"0.7978";"0.6332";"0.0535";"0.003367";"0.2276";"2.8134";"0.0425";"0.1093";"1.2226";"-";"0.1325";"-";"-";"-";"-";"-";"-";"-";"364.5107";"6.0476"
"2024-07";"3.0598";"2.5426";"3.3447";"5.1392";"0.1966";"0.6666";"0.0952";"4.9729";"5.8956";"0.01266";"0.029063";"0.2578";"0.4246";"1.1612";"0.0524";"0.4312";"-";"0.1393";"4.5854";"0.2513";"0.8275";"0.6314";"0.0549";"0.003316";"0.2533";"2.7658";"0.0425";"0.1118";"1.2484";"-";"0.1264";"-";"-";"-";"-";"-";"-";"-";"352.458";"6.0717";"2.986";"2.5438";"3.3196";"5.2148";"0.1955";"0.6667";"0.0946";"4.9752";"5.8972";"0.012579";"0.030543";"0.259";"0.4206";"1.1585";"0.0534";"0.4275";"-";"0.1386";"4.5956";"0.2523";"0.8188";"0.6362";"0.0549";"0.003347";"0.2441";"2.7194";"0.0425";"0.112";"1.2512";"-";"0.1289";"-";"-";"-";"-";"-";"-";"-";"357.7496";"6.1038"
