"2021-10";"3.1558";"2.5299";"3.428";"4.6194";"0.194";"0.6651";"0.2714";"4.9481";"5.8399";"0.013707";"0.03772";"0.2446";"0.5036";"1.0778";"0.0598";"0.4919";"-";"0.4633";"4.2662";"0.2871";"0.7716";"0.6643";"0.0569";"0.003608";"0.2084";"3.0066";"0.0421";"0.1616";"1.1615";"0.6586";"0.1274";"-";"-";"-";"-";"-";"-";"-";"243.4653";"6.0253";"3.2009";"2.5303";"3.4414";"4.6615";"0.1928";"0.6653";"0.2703";"4.9489";"5.8529";"0.013708";"0.037346";"0.2434";"0.5076";"1.0719";"0.0602";"0.4973";"-";"0.4417";"4.2471";"0.2773";"0.7522";"0.664";"0.0567";"0.003628";"0.2075";"3.0482";"0.0421";"0.1617";"1.1562";"0.6581";"0.1281";"-";"-";"-";"-";"-";"-";"-";"245.4817";"6.0108"
"2021-09";"3.0756";"2.5291";"3.3179";"4.5555";"0.1948";"0.6652";"0.2675";"4.9465";"5.7732";"0.014045";"0.038144";"0.2379";"0.4854";"1.083";"0.0576";"0.4862";"-";"0.4913";"4.2019";"0.2886";"0.7983";"0.6508";"0.0571";"0.003583";"0.2098";"2.9663";"0.0421";"0.1574";"1.1439";"0.6603";"0.1271";"-";"-";"-";"-";"-";"-";"-";"240.5856";"5.9727";"3.0717";"2.5294";"3.3516";"4.5627";"0.1938";"0.6653";"0.2715";"4.9471";"5.7431";"0.013722";"0.038121";"0.2402";"0.4843";"1.0665";"0.0587";"0.4852";"-";"0.4785";"4.2653";"0.2814";"0.7876";"0.6601";"0.0575";"0.003599";"0.2083";"2.9301";"0.0421";"0.1604";"1.1612";"0.6608";"0.1261";"-";"-";"-";"-";"-";"-";"-";"237.2903";"6.0166"
"2021-08";"3.0536";"2.517";"3.3203";"4.5751";"0.1932";"0.662";"0.2663";"4.9229";"5.7714";"0.013992";"0.038074";"0.2359";"0.4724";"1.0772";"0.0568";"0.4818";"-";"0.493";"4.1823";"0.2829";"0.7961";"0.6458";"0.0564";"0.003602";"0.2085";"2.9165";"0.0419";"0.1563";"1.1386";"0.6567";"0.1264";"-";"-";"-";"-";"-";"-";"-";"240.12";"5.9462";"3.0589";"2.5231";"3.3172";"4.568";"0.193";"0.6636";"0.2659";"4.9348";"5.7458";"0.014106";"0.037979";"0.2374";"0.482";"1.086";"0.057";"0.485";"-";"0.5015";"4.1741";"0.2866";"0.8051";"0.6459";"0.0572";"0.00361";"0.2077";"2.9454";"0.042";"0.1551";"1.1364";"0.6587";"0.1296";"-";"-";"-";"-";"-";"-";"-";"243.4821";"5.9428"
"2021-07";"3.093";"2.5181";"3.326";"4.5371";"0.1921";"0.6622";"0.2654";"4.925";"5.75";"0.013787";"0.037772";"0.2312";"0.4745";"1.0794";"0.0563";"0.4829";"-";"0.4841";"4.1652";"0.2868";"0.8085";"0.6435";"0.0559";"0.003637";"0.2085";"2.9087";"0.0419";"0.1532";"1.134";"0.6565";"0.1276";"-";"-";"-";"-";"-";"-";"-";"241.8886";"5.9292";"3.0534";"2.5154";"3.3243";"4.5704";"0.1929";"0.6615";"0.2633";"4.9198";"5.7754";"0.013765";"0.037739";"0.2312";"0.4709";"1.0771";"0.0566";"0.4826";"-";"0.4918";"4.1348";"0.2836";"0.8136";"0.6402";"0.0556";"0.003601";"0.2081";"2.8978";"0.0418";"0.1542";"1.1257";"0.6557";"0.1258";"-";"-";"-";"-";"-";"-";"-";"243.12";"5.908"
"2021-06";"3.1245";"2.5174";"3.3453";"4.5015";"0.1935";"0.6621";"0.2606";"4.9236";"5.7333";"0.014089";"0.037104";"0.2295";"0.4857";"1.0942";"0.0564";"0.487";"-";"0.4749";"4.0864";"0.294";"0.8133";"0.6362";"0.0555";"0.00364";"0.2044";"2.9057";"0.0419";"0.1502";"1.1125";"0.6567";"0.13";"-";"-";"-";"-";"-";"-";"-";"241.0996";"5.8659";"3.1081";"2.519";"3.3389";"4.4913";"0.1931";"0.6625";"0.2642";"4.9267";"5.7374";"0.014008";"0.037492";"0.2302";"0.4833";"1.0913";"0.0567";"0.4864";"-";"0.4762";"4.1425";"0.2894";"0.8357";"0.6415";"0.0557";"0.003671";"0.2088";"2.8924";"0.0419";"0.1522";"1.1278";"0.6575";"0.1293";"-";"-";"-";"-";"-";"-";"-";"234.1742";"5.9101"
"2021-05";"3.1449";"2.518";"3.3428";"4.4906";"0.1926";"0.6623";"0.2585";"4.9247";"5.7105";"0.013935";"0.037137";"0.2287";"0.4878";"1.0877";"0.0548";"0.4854";"-";"0.4833";"4.0526";"0.2886";"0.7647";"0.6305";"0.0554";"0.003606";"0.203";"2.927";"0.0419";"0.1469";"1.1033";"0.6548";"0.1295";"-";"-";"-";"-";"-";"-";"-";"241.1715";"5.8393";"3.1222";"2.5154";"3.3456";"4.4854";"0.1928";"0.6616";"0.2576";"4.9198";"5.7227";"0.014135";"0.036799";"0.2294";"0.4817";"1.0968";"0.055";"0.4855";"-";"0.4749";"4.0361";"0.2932";"0.7724";"0.6336";"0.0556";"0.003637";"0.2024";"2.9298";"0.0418";"0.1469";"1.0989";"0.6553";"0.1292";"-";"-";"-";"-";"-";"-";"-";"247.3362";"5.828"
"2021-04";"3.1684";"2.5166";"3.29";"4.4591";"0.1897";"0.6618";"0.2624";"4.9221";"5.7003";"0.013643";"0.037748";"0.2297";"0.4899";"1.0778";"0.0541";"0.4838";"-";"0.5052";"4.1188";"0.2855";"0.7375";"0.6314";"0.0553";"0.003683";"0.2053";"2.9316";"0.0419";"0.1475";"1.1213";"0.6503";"0.1314";"-";"-";"-";"-";"-";"-";"-";"232.4637";"5.8842";"3.161";"2.5179";"3.3003";"4.4687";"0.1905";"0.6623";"0.2594";"4.9247";"5.67";"0.013649";"0.037269";"0.2288";"0.4954";"1.0769";"0.0547";"0.4866";"-";"0.4988";"4.0621";"0.2859";"0.7603";"0.628";"0.0549";"0.003665";"0.204";"2.946";"0.0419";"0.1464";"1.1059";"0.6519";"0.1301";"-";"-";"-";"-";"-";"-";"-";"231.9385";"5.8405"
"2021-03";"3.1651";"2.4991";"3.2656";"4.4188";"0.1866";"0.6573";"0.2612";"4.8878";"5.6926";"0.013369";"0.037777";"0.2313";"0.4819";"1.0631";"0.0551";"0.4807";"-";"0.5351";"4.1064";"0.2742";"0.7277";"0.6308";"0.0564";"0.003632";"0.1975";"2.9299";"0.0416";"0.1477";"1.1179";"0.645";"0.1334";"-";"-";"-";"-";"-";"-";"-";"227.2974";"5.8628";"3.1974";"2.5181";"3.3299";"4.4513";"0.1884";"0.6622";"0.2671";"4.9251";"5.7864";"0.013542";"0.037961";"0.2331";"0.4921";"1.0562";"0.0555";"0.4815";"-";"0.5032";"4.1969";"0.2836";"0.727";"0.6404";"0.0574";"0.003717";"0.2042";"2.9369";"0.0419";"0.1507";"1.1426";"0.6505";"0.1343";"-";"-";"-";"-";"-";"-";"-";"227.4991";"5.95"
"2021-02";"3.1239";"2.4921";"3.174";"4.4902";"0.1883";"0.6554";"0.2572";"4.8741";"5.5834";"0.013608";"0.038239";"0.2309";"0.4742";"1.0837";"0.0542";"0.4832";"-";"0.5691";"4.0289";"0.2728";"0.7455";"0.6239";"0.0554";"0.003625";"0.1987";"2.9182";"0.0415";"0.1446";"1.0969";"0.6437";"0.1343";"-";"-";"-";"-";"-";"-";"-";"234.9966";"5.8014";"3.1327";"2.4923";"3.1817";"4.4406";"0.1863";"0.6555";"0.2561";"4.8745";"5.5894";"0.013497";"0.037804";"0.2284";"0.4704";"1.0785";"0.0539";"0.4818";"-";"0.5447";"4.0209";"0.2691";"0.727";"0.6224";"0.0546";"0.003572";"0.1922";"2.9377";"0.0415";"0.1439";"1.0947";"0.6431";"0.1325";"-";"-";"-";"-";"-";"-";"-";"228.2335";"5.7907"
"2021-01";"3.0922";"2.4914";"3.1461";"4.5146";"0.1864";"0.6551";"0.255";"4.8728";"5.4607";"0.013569";"0.038582";"0.2313";"0.4704";"1.0746";"0.0538";"0.4828";"-";"0.542";"4.0029";"0.2646";"0.7486";"0.6189";"0.0548";"0.00364";"0.2011";"2.8801";"0.0414";"0.142";"1.0898";"0.6442";"0.1334";"-";"-";"-";"-";"-";"-";"-";"240.7176";"5.7743";"3.0769";"2.4922";"3.1322";"4.5231";"0.1872";"0.6555";"0.2559";"4.8743";"5.5021";"0.013593";"0.038367";"0.2328";"0.4701";"1.0751";"0.0528";"0.4813";"-";"0.5496";"4.0209";"0.2662";"0.739";"0.6246";"0.0551";"0.003602";"0.199";"2.8839";"0.0414";"0.143";"1.0947";"0.6441";"0.1344";"-";"-";"-";"-";"-";"-";"-";"240.0865";"5.7923"
"2020-12";"3.0138";"2.4903";"3.1222";"4.5046";"0.1851";"0.6546";"0.2547";"4.8707";"5.3737";"0.013568";"0.038549";"0.2321";"0.4593";"1.0883";"0.054";"0.4786";"-";"0.5196";"4.0005";"0.2688";"0.7778";"0.6117";"0.0543";"0.003656";"0.2003";"2.838";"0.0414";"0.1422";"1.0891";"0.6459";"0.133";"-";"-";"-";"-";"-";"-";"-";"239.0736";"5.7569";"3.0663";"2.4897";"3.1127";"4.4997";"0.1854";"0.6545";"0.2523";"4.8694";"5.4201";"0.013356";"0.038484";"0.2305";"0.4657";"1.0676";"0.0531";"0.4864";"-";"0.5307";"3.966";"0.2702";"0.7636";"0.6063";"0.0543";"0.003647";"0.1997";"2.8702";"0.0414";"0.1403";"1.0797";"0.6451";"0.1325";"-";"-";"-";"-";"-";"-";"-";"241.4052";"5.734"
"2020-11";"2.9929";"2.4899";"3.1474";"4.518";"0.1838";"0.654";"0.263";"4.8699";"5.4361";"0.013524";"0.039442";"0.2403";"0.4523";"1.0827";"0.0535";"0.4757";"-";"0.5154";"4.1176";"0.2646";"0.7547";"0.6236";"0.0554";"0.003692";"0.2016";"2.8233";"0.0414";"0.1456";"1.121";"0.6439";"0.1351";"-";"-";"-";"-";"-";"-";"-";"248.1782";"5.8529";"3.0148";"2.4918";"3.1463";"4.5081";"0.1862";"0.6549";"0.2613";"4.8735";"5.4471";"0.013462";"0.039287";"0.2376";"0.4616";"1.0862";"0.0538";"0.4795";"-";"0.5217";"4.0875";"0.2696";"0.7659";"0.6216";"0.0553";"0.0037";"0.2044";"2.8697";"0.0414";"0.1435";"1.1128";"0.6449";"0.1348";"-";"-";"-";"-";"-";"-";"-";"237.6576";"5.8339"
"2020-10";"2.9516";"2.4917";"3.135";"4.538";"0.179";"0.6548";"0.2637";"4.8733";"5.3757";"0.013442";"0.039369";"0.2437";"0.4461";"1.0727";"0.0533";"0.4685";"-";"0.5211";"4.1412";"0.2516";"0.7366";"0.6156";"0.0563";"0.003619";"0.1942";"2.7492";"0.0414";"0.1461";"1.1274";"0.6435";"0.1325";"-";"-";"-";"-";"-";"-";"-";"253.4072";"5.8537";"2.9377";"2.4922";"3.1343";"4.5595";"0.1785";"0.6545";"0.266";"4.8743";"5.4111";"0.013269";"0.040006";"0.2444";"0.4377";"1.0547";"0.0527";"0.4694";"-";"0.5008";"4.1768";"0.256";"0.7227";"0.6244";"0.056";"0.003683";"0.1954";"2.7694";"0.0414";"0.1468";"1.1371";"0.6438";"0.134";"-";"-";"-";"-";"-";"-";"-";"251.6793";"5.8944"
"2020-09";"2.9805";"2.4841";"3.1179";"4.5042";"0.1818";"0.6529";"0.2612";"4.8586";"5.3445";"0.013477";"0.039027";"0.2469";"0.4512";"1.0864";"0.0542";"0.4661";"-";"0.5453";"4.1199";"0.2462";"0.7639";"0.6049";"0.056";"0.0035";"0.1904";"2.7491";"0.0413";"0.1471";"1.1216";"0.6443";"0.1313";"-";"-";"-";"-";"-";"-";"-";"254.8017";"5.818";"2.9625";"2.4899";"3.105";"4.5043";"0.1791";"0.654";"0.2638";"4.8698";"5.3406";"0.01333";"0.039382";"0.2456";"0.4397";"1.0744";"0.0531";"0.4621";"-";"0.5351";"4.1617";"0.2458";"0.7389";"0.611";"0.0564";"0.003555";"0.186";"2.7371";"0.0414";"0.147";"1.133";"0.6444";"0.1314";"-";"-";"-";"-";"-";"-";"-";"252.1123";"5.8568"
"2020-08";"2.9423";"2.4732";"3.0891";"4.4922";"0.1849";"0.6496";"0.2566";"4.8372";"5.3692";"0.013865";"0.038569";"0.2458";"0.4569";"1.0992";"0.0554";"0.4692";"-";"0.5615";"4.0881";"0.2371";"0.7509";"0.5901";"0.0548";"0.003446";"0.1841";"2.6971";"0.0411";"0.1486";"1.113";"0.6444";"0.131";"-";"-";"-";"-";"-";"-";"-";"259.0295";"5.7728";"2.9876";"2.4748";"3.1091";"4.4918";"0.1846";"0.6503";"0.2568";"4.8404";"5.4077";"0.01366";"0.038364";"0.2462";"0.4629";"1.1007";"0.0551";"0.4699";"-";"0.5527";"4.0631";"0.2436";"0.754";"0.5933";"0.0552";"0.003426";"0.1861";"2.7342";"0.0412";"0.1474";"1.1062";"0.6428";"0.1306";"-";"-";"-";"-";"-";"-";"-";"256.7054";"5.7635"
"2020-07";"2.9674";"2.4736";"3.1264";"4.5188";"0.1824";"0.6497";"0.264";"4.838";"5.3457";"0.01378";"0.039563";"0.2479";"0.4539";"1.0872";"0.0591";"0.4672";"-";"0.6147";"4.2239";"0.2517";"0.798";"0.6025";"0.0564";"0.003523";"0.1882";"2.7796";"0.0411";"0.1544";"1.1499";"0.6425";"0.1344";"-";"-";"-";"-";"-";"-";"-";"249.9761";"5.8746";"2.9315";"2.4703";"3.0379";"4.4876";"0.1846";"0.6491";"0.2554";"4.8316";"5.3503";"0.014014";"0.038952";"0.2454";"0.4493";"1.0973";"0.0551";"0.4696";"-";"0.584";"4.078";"0.2408";"0.791";"0.5848";"0.0545";"0.003426";"0.1841";"2.7244";"0.0411";"0.1472";"1.1102";"0.6453";"0.1307";"-";"-";"-";"-";"-";"-";"-";"259.1273";"5.7623"
"2020-06";"2.9633";"2.4743";"3.1701";"4.5195";"0.1814";"0.6492";"0.2657";"4.8393";"5.3803";"0.013915";"0.039966";"0.2482";"0.4508";"1.0883";"0.062";"0.4613";"-";"0.6302";"4.2965";"0.2509";"0.8287";"0.6066";"0.0567";"0.003559";"0.1925";"2.7693";"0.0412";"0.161";"1.1697";"0.6395";"0.138";"-";"-";"-";"-";"-";"-";"-";"239.8856";"5.9293";"2.9562";"2.4758";"3.1563";"4.5393";"0.1805";"0.6497";"0.2674";"4.8423";"5.302";"0.013571";"0.040112";"0.249";"0.4431";"1.0839";"0.0609";"0.4605";"-";"0.6325";"4.3233";"0.2491";"0.8001";"0.6109";"0.0572";"0.003591";"0.1864";"2.7624";"0.0412";"0.1621";"1.177";"0.6398";"0.1399";"-";"-";"-";"-";"-";"-";"-";"246.0742";"5.9454"
"2020-05";"2.8943";"2.4729";"3.1784";"4.5758";"0.1774";"0.6485";"0.281";"4.8365";"5.4573";"0.013785";"0.041412";"0.2495";"0.4395";"1.0686";"0.0611";"0.4561";"-";"0.6407";"4.4398";"0.2449";"0.7874";"0.6247";"0.0587";"0.003611";"0.1893";"2.703";"0.0411";"0.1657";"1.2087";"0.6385";"0.1385";"-";"-";"-";"-";"-";"-";"-";"245.5437";"6.054";"2.8967";"2.476";"3.1635";"4.5273";"0.1795";"0.6496";"0.2747";"4.8426";"5.3509";"0.013886";"0.040583";"0.2496";"0.4473";"1.0879";"0.0617";"0.461";"-";"0.6376";"4.3517";"0.2488";"0.8052";"0.6094";"0.0576";"0.003517";"0.1969";"2.7051";"0.0412";"0.1618";"1.1847";"0.6381";"0.1368";"-";"-";"-";"-";"-";"-";"-";"241.3579";"5.9705"
"2020-04";"2.7982";"2.4717";"3.164";"4.5821";"0.1775";"0.6478";"0.2822";"4.8342";"5.5173";"0.013567";"0.041259";"0.2446";"0.4267";"1.0635";"0.0592";"0.4441";"-";"0.6499";"4.4469";"0.2403";"0.838";"0.6287";"0.0584";"0.003636";"0.1837";"2.6701";"0.0411";"0.1637";"1.2107";"0.6362";"0.1362";"-";"-";"-";"-";"-";"-";"-";"240.3431";"6.0646";"2.9135";"2.4757";"3.211";"4.5838";"0.1785";"0.6492";"0.2828";"4.8421";"5.5644";"0.013707";"0.041753";"0.2494";"0.4324";"1.0668";"0.0611";"0.453";"-";"0.6377";"4.4541";"0.2464";"0.8347";"0.6318";"0.0593";"0.003691";"0.1879";"2.7271";"0.0412";"0.1654";"1.2126";"0.639";"0.1377";"-";"-";"-";"-";"-";"-";"-";"245.7869";"6.0851"
"2020-03";"2.7193";"2.4676";"3.135";"4.5579";"0.182";"0.646";"0.2775";"4.8263";"5.4024";"0.013986";"0.0406";"0.2462";"0.4292";"1.0884";"0.0589";"0.4444";"-";"0.6888";"4.3633";"0.2625";"0.8987";"0.6215";"0.0586";"0.003577";"0.1965";"2.6427";"0.041";"0.1646";"1.1879";"0.6377";"0.1359";"-";"-";"-";"-";"-";"-";"-";"223.414";"5.9879";"2.6973";"2.4672";"3.0901";"4.5607";"0.1766";"0.6461";"0.2793";"4.8254";"5.423";"0.013462";"0.040553";"0.2399";"0.4191";"1.0614";"0.0562";"0.4358";"-";"0.6692";"4.3983";"0.2458";"0.8468";"0.6197";"0.0583";"0.003593";"0.1838";"2.6227";"0.0411";"0.1589";"1.1975";"0.6335";"0.1341";"-";"-";"-";"-";"-";"-";"-";"227.3269";"6.0073"
"2020-02";"2.9232";"2.4454";"3.3007";"4.4912";"0.1909";"0.6401";"0.2799";"4.7828";"5.6835";"0.014175";"0.039847";"0.2486";"0.4717";"1.1178";"0.0684";"0.4524";"-";"0.7234";"4.3843";"0.2918";"1.01";"0.6265";"0.0613";"0.003667";"0.2327";"2.8022";"0.0407";"0.1785";"1.1936";"0.6417";"0.1399";"-";"-";"-";"-";"-";"-";"-";"225.4403";"6.0036";"2.8419";"2.4607";"3.2425";"4.5243";"0.189";"0.644";"0.2789";"4.8127";"5.6207";"0.014164";"0.040113";"0.2475";"0.4625";"1.1099";"0.0649";"0.4509";"-";"0.7002";"4.3601";"0.2796";"0.9719";"0.6238";"0.0605";"0.003605";"0.2206";"2.7221";"0.0409";"0.1773";"1.1871";"0.6448";"0.1382";"-";"-";"-";"-";"-";"-";"-";"228.5606";"5.996"
"2020-01";"2.9496";"2.4432";"3.2901";"4.4387";"0.1895";"0.6394";"0.2712";"4.7785";"5.6219";"0.014292";"0.039388";"0.2469";"0.4806";"1.1242";"0.0695";"0.4525";"-";"0.7269";"4.3059";"0.2983";"1.0386";"0.6224";"0.0604";"0.003687";"0.2289";"2.8408";"0.0407";"0.1777";"1.1723";"0.642";"0.1413";"-";"-";"-";"-";"-";"-";"-";"216.3318";"5.9413";"2.8997";"2.4429";"3.2715";"4.4691";"0.1893";"0.6394";"0.2741";"4.7779";"5.6778";"0.014192";"0.03976";"0.2476";"0.4693";"1.1107";"0.0683";"0.448";"-";"0.7238";"4.3309";"0.2913";"1.0205";"0.6244";"0.0606";"0.003624";"0.2301";"2.7989";"0.0406";"0.1739";"1.1791";"0.642";"0.139";"-";"-";"-";"-";"-";"-";"-";"220.0322";"5.9669"
"2019-12";"2.957";"2.4426";"3.2629";"4.3713";"0.1874";"0.6394";"0.2672";"4.7773";"5.638";"0.014442";"0.039399";"0.248";"0.4755";"1.118";"0.0683";"0.4558";"-";"0.7356";"4.2987";"0.2978";"1.0437";"0.6126";"0.0604";"0.003657";"0.2247";"2.8323";"0.0407";"0.1819";"1.1703";"0.642";"0.1423";"-";"-";"-";"-";"-";"-";"-";"204.562";"5.9282";"2.9874";"2.4436";"3.2702";"4.4033";"0.1881";"0.6397";"0.266";"4.7793";"5.6088";"0.014459";"0.039244";"0.2481";"0.4848";"1.1213";"0.0685";"0.4574";"-";"0.7166";"4.2608";"0.3037";"1.06";"0.6122";"0.0597";"0.003691";"0.2251";"2.8682";"0.0407";"0.1782";"1.16";"0.6421";"0.1432";"-";"-";"-";"-";"-";"-";"-";"208.5985";"5.9022"
"2019-11";"2.9462";"2.438";"3.2585";"4.3439";"0.1868";"0.6382";"0.2674";"4.7683";"5.5596";"0.014298";"0.039617";"0.2469";"0.4714";"1.1125";"0.0675";"0.4476";"-";"0.7514";"4.3139";"0.2916";"1.0397";"0.6146";"0.0603";"0.003693";"0.2236";"2.7616";"0.0406";"0.1774";"1.1745";"0.6409";"0.1426";"-";"-";"-";"-";"-";"-";"-";"204.1333";"5.9315";"2.9428";"2.443";"3.2672";"4.3443";"0.1871";"0.6395";"0.2694";"4.7781";"5.5999";"0.014308";"0.039637";"0.2489";"0.4727";"1.1049";"0.0677";"0.455";"-";"0.7547";"4.3425";"0.2964";"1.0366";"0.6185";"0.0606";"0.003681";"0.2232";"2.7935";"0.0407";"0.1813";"1.1822";"0.6423";"0.1437";"-";"-";"-";"-";"-";"-";"-";"203.3507";"5.9595"
"2019-10";"2.9217";"2.4306";"3.2603";"4.3286";"0.185";"0.6365";"0.265";"4.7538";"5.4309";"0.014337";"0.039782";"0.2453";"0.4698";"1.1049";"0.0669";"0.4401";"-";"0.7426";"4.3014";"0.2884";"1.0515";"0.6061";"0.0606";"0.003633";"0.2225";"2.7235";"0.0405";"0.1734";"1.1711";"0.6393";"0.1417";"-";"-";"-";"-";"-";"-";"-";"206.6585";"5.9008";"2.9396";"2.4325";"3.2368";"4.3163";"0.1865";"0.6369";"0.2639";"4.7576";"5.5189";"0.014446";"0.039348";"0.2442";"0.4635";"1.117";"0.0666";"0.4418";"-";"0.7461";"4.2614";"0.2823";"1.0686";"0.6049";"0.06";"0.003647";"0.2227";"2.7296";"0.0405";"0.1719";"1.1602";"0.6381";"0.1412";"-";"-";"-";"-";"-";"-";"-";"206.2074";"5.8801"
"2019-09";"2.9294";"2.4222";"3.2477";"4.3445";"0.1831";"0.6348";"0.2625";"4.7376";"5.3116";"0.014251";"0.040049";"0.2422";"0.4772";"1.088";"0.0663";"0.4427";"-";"0.7528";"4.3026";"0.2897";"1.0441";"0.6045";"0.0602";"0.0036";"0.2196";"2.7299";"0.0403";"0.174";"1.1714";"0.6401";"0.1408";"-";"-";"-";"-";"-";"-";"-";"208.9577";"5.8866";"2.9363";"2.4292";"3.2838";"4.3759";"0.1841";"0.6364";"0.2672";"4.7511";"5.3546";"0.014196";"0.040291";"0.245";"0.4788";"1.086";"0.0671";"0.443";"-";"0.7698";"4.3488";"0.2869";"1.0454";"0.6093";"0.0615";"0.003628";"0.2208";"2.7244";"0.0405";"0.1804";"1.1841";"0.6412";"0.1422";"-";"-";"-";"-";"-";"-";"-";"208.1085";"5.9302"
"2019-08";"2.8779";"2.4177";"3.2041";"4.3388";"0.1833";"0.6338";"0.2564";"4.7286";"5.1651";"0.014468";"0.039991";"0.2395";"0.4744";"1.0886";"0.0647";"0.4405";"-";"0.752";"4.2511";"0.2809";"1.0608";"0.6018";"0.0598";"0.003512";"0.216";"2.7334";"0.0402";"0.1683";"1.1574";"0.6399";"0.1382";"-";"-";"-";"-";"-";"-";"-";"204.7109";"5.837";"2.8784";"2.4181";"3.2205";"4.3323";"0.1827";"0.6343";"0.2588";"4.7294";"5.2212";"0.014287";"0.040255";"0.2395";"0.471";"1.0796";"0.0645";"0.4366";"-";"0.7342";"4.2827";"0.2812";"1.0272";"0.5991";"0.0599";"0.003545";"0.2131";"2.7";"0.0402";"0.1706";"1.166";"0.6389";"0.1401";"-";"-";"-";"-";"-";"-";"-";"210.193";"5.861"
"2019-07";"2.9436";"2.4179";"3.2176";"4.2685";"0.1851";"0.6335";"0.2538";"4.729";"5.2576";"0.014539";"0.038946";"0.237";"0.4894";"1.11";"0.0667";"0.4478";"-";"0.7426";"4.2144";"0.2998";"1.1141";"0.6128";"0.0613";"0.00358";"0.2211";"2.8158";"0.0402";"0.164";"1.1474";"0.6399";"0.1369";"-";"-";"-";"-";"-";"-";"-";"191.7305";"5.8225";"2.9276";"2.4202";"3.2301";"4.2861";"0.1845";"0.6339";"0.2561";"4.7336";"5.1685";"0.014484";"0.039119";"0.2394";"0.4842";"1.1026";"0.067";"0.4437";"-";"0.7676";"4.2469";"0.2991";"1.1204";"0.617";"0.0617";"0.003595";"0.2229";"2.8064";"0.0402";"0.169";"1.1562";"0.6413";"0.1381";"-";"-";"-";"-";"-";"-";"-";"195.4568";"5.842"
"2019-06";"2.9071";"2.416";"3.1485";"4.2315";"0.1845";"0.6328";"0.25";"4.7252";"5.3062";"0.014645";"0.038714";"0.2305";"0.4849";"1.108";"0.0652";"0.4448";"-";"0.7208";"4.1839";"0.287";"1.0837";"0.6064";"0.0603";"0.003567";"0.217";"2.7623";"0.0401";"0.158";"1.1391";"0.6378";"0.1345";"-";"-";"-";"-";"-";"-";"-";"182.925";"5.7981";"2.9138";"2.421";"3.1755";"4.2649";"0.1862";"0.6344";"0.2491";"4.7351";"5.2735";"0.014631";"0.038629";"0.2293";"0.488";"1.1133";"0.0659";"0.4489";"-";"0.7233";"4.1587";"0.2933";"1.0888";"0.6056";"0.0602";"0.003599";"0.2164";"2.789";"0.0402";"0.1589";"1.1322";"0.6401";"0.1356";"-";"-";"-";"-";"-";"-";"-";"188.9215";"5.7826"
"2019-05";"2.9542";"2.4335";"3.1611";"4.2095";"0.1847";"0.6374";"0.2502";"4.7595";"5.4623";"0.01464";"0.038703";"0.2369";"0.4868";"1.1076";"0.0655";"0.4433";"-";"0.7022";"4.2551";"0.2948";"1.0642";"0.6204";"0.061";"0.003592";"0.2225";"2.791";"0.0404";"0.1613";"1.1585";"0.6416";"0.1338";"-";"-";"-";"-";"-";"-";"-";"175.5738";"5.8804";"2.945";"2.428";"3.1439";"4.2412";"0.1838";"0.6359";"0.2538";"4.7487";"5.3582";"0.014627";"0.039166";"0.2345";"0.4847";"1.1076";"0.065";"0.4456";"-";"0.7253";"4.2591";"0.2878";"1.0697";"0.617";"0.061";"0.003576";"0.2155";"2.7756";"0.0403";"0.1585";"1.1596";"0.6399";"0.1347";"-";"-";"-";"-";"-";"-";"-";"177.7471";"5.8717"
"2019-04";"3.0126";"2.4329";"3.1646";"4.204";"0.1853";"0.6374";"0.2449";"4.7583";"5.5189";"0.014826";"0.037893";"0.2398";"0.4948";"1.1101";"0.0655";"0.4546";"-";"0.7364";"4.2296";"0.2994";"1.0866";"0.6299";"0.0609";"0.003707";"0.223";"2.8452";"0.0403";"0.1579";"1.1515";"0.6404";"0.1329";"-";"-";"-";"-";"-";"-";"-";"175.01";"5.8701";"2.9945";"2.4329";"3.1573";"4.1678";"0.1855";"0.6374";"0.247";"4.7582";"5.5129";"0.014743";"0.038108";"0.2389";"0.4922";"1.1093";"0.0659";"0.4476";"-";"0.7136";"4.244";"0.2967";"1.0756";"0.6302";"0.0608";"0.00364";"0.2233";"2.8327";"0.0403";"0.16";"1.1554";"0.6416";"0.133";"-";"-";"-";"-";"-";"-";"-";"175.3093";"5.881"
"2019-03";"2.9766";"2.4306";"3.1463";"4.202";"0.1851";"0.637";"0.2419";"4.7538";"5.5387";"0.015048";"0.037815";"0.2445";"0.4891";"1.1059";"0.0646";"0.4528";"-";"0.7675";"4.2042";"0.2925";"1.0974";"0.6264";"0.0605";"0.003713";"0.2186";"2.8719";"0.0403";"0.1564";"1.1446";"0.6406";"0.1325";"-";"-";"-";"-";"-";"-";"-";"175.9879";"5.8507";"3.0046";"2.4352";"3.1599";"4.2614";"0.1844";"0.6381";"0.2449";"4.7628";"5.5401";"0.01484";"0.038302";"0.2451";"0.4914";"1.1066";"0.0657";"0.4579";"-";"0.7512";"4.2434";"0.293";"1.0877";"0.6319";"0.0613";"0.003734";"0.22";"2.8807";"0.0404";"0.1561";"1.1553";"0.6407";"0.1337";"-";"-";"-";"-";"-";"-";"-";"176.151";"5.8885"
